mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_RMSE
0.14267778396606445,0.001767459831857673,0.007181549072265625,0.000294600616540269,0.1,0.03,100,15,10,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 15, 'min_samples_leaf': 10}",-0.9697031503385891,-0.8373065470128026,-0.8102293109129858,-0.7894476483197285,-0.7457288457263254,-0.8304831004620862,0.0757709571404343,150,-0.6819546691885242,-0.6909584963621281,-0.6936991049922828,-0.696577299010204,-0.6961221390050522,-0.6918623417116383,0.005342832692467536,0.8304831004620862
0.13719730377197265,0.0011273117657672142,0.007336473464965821,0.0001496369857463353,0.1,0.03,100,15,20,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 15, 'min_samples_leaf': 20}",-1.0032554820652957,-0.9389030684441524,-0.8156869856258491,-0.8615042900011615,-0.7599331445333865,-0.875856594133969,0.08656783601121514,163,-0.7610586125175017,-0.7624973048394487,-0.7842454838162642,-0.7844324294115756,-0.7843656190938658,-0.7753198899357312,0.011066458692576121,0.875856594133969
0.2513598918914795,0.0021692061333049876,0.00883183479309082,0.00043536163750473677,0.1,0.03,100,31,10,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 10}",-0.9371408315876617,-0.7909847210952031,-0.7475811474666164,-0.7476903881893162,-0.691886302100734,-0.7830566780879062,0.08321791323670318,136,-0.5653157672377871,-0.5852546051420898,-0.5880392547715773,-0.5847490749116965,-0.5952568556723719,-0.5837231115471045,0.009938659304554384,0.7830566780879062
0.2364171028137207,0.001247345865692656,0.008665370941162109,0.00017618725840364078,0.1,0.03,100,31,20,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",-0.9473043208983898,-0.9127811118253867,-0.7767036159539277,-0.8145858228542601,-0.6924973892129641,-0.8287744521489857,0.09229363544852019,149,-0.658170220694547,-0.6858842049667907,-0.7057779992053047,-0.6998259590785576,-0.7128677251103147,-0.6925052218111029,0.019324189609047554,0.8287744521489857
0.1474484920501709,0.0013016960925539194,0.010967350006103516,0.00038911856808403043,0.1,0.03,200,7,10,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 7, 'min_samples_leaf': 10}",-0.9171215531592528,-0.7151404663511939,-0.7440279725396245,-0.7157467916128752,-0.6807346475973434,-0.754554286252058,0.08372303081053417,122,-0.6093407971841422,-0.6273677366600323,-0.6211659580175946,-0.633852728585785,-0.6294356467464626,-0.6242325734388033,0.008492558336344876,0.754554286252058
0.14360594749450684,0.000407828844671607,0.01103525161743164,0.0003080094697356958,0.1,0.03,200,7,20,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 7, 'min_samples_leaf': 20}",-0.9481326383189917,-0.8337445032285865,-0.7586505261584894,-0.803805892123868,-0.6892123456721758,-0.8067091811004223,0.0858546127259191,147,-0.6739147006836295,-0.682115413317641,-0.6904633220817985,-0.6986505505061669,-0.6979697376524799,-0.6886227448483432,0.00948665180288197,0.8067091811004223
0.2662555694580078,0.0018738437287279899,0.013969612121582032,0.0005413185002817016,0.1,0.03,200,15,10,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 15, 'min_samples_leaf': 10}",-0.8583667847637237,-0.683426387705023,-0.7064620000357915,-0.6330782984237315,-0.6207633507145532,-0.7004193643285646,0.08503241968215894,62,-0.48501889853430585,-0.49055004979032596,-0.5005517393765281,-0.5018330949006341,-0.496641964600554,-0.49491914944046955,0.006318240309573776,0.7004193643285646
0.25864615440368655,0.002329400317751898,0.014559650421142578,0.000509489750603615,0.1,0.03,200,15,20,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 15, 'min_samples_leaf': 20}",-0.884411536638877,-0.8066812829372928,-0.7139873161293833,-0.7317299273730399,-0.6320106387382355,-0.7537641403633657,0.08574448504479405,121,-0.5841735384181527,-0.5812246079244058,-0.6065865520584294,-0.5988807420818714,-0.6146461160976878,-0.5971023113161095,0.012807445946033752,0.7537641403633657
0.4737387180328369,0.0025012261186258236,0.017388105392456055,0.00057437229827168,0.1,0.03,200,31,10,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 31, 'min_samples_leaf': 10}",-0.8415429378444008,-0.682808570912261,-0.6774467192572402,-0.6555086429073139,-0.6058396368574425,-0.6926293015557317,0.07926237168451362,51,-0.36544595628886156,-0.39020085801586973,-0.3957323644080465,-0.37654854360172413,-0.38942106173272706,-0.3834697568094458,0.010989612152672234,0.6926293015557317
0.44699878692626954,0.002813844354187092,0.018668317794799806,0.0007249346643824208,0.1,0.03,200,31,20,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",-0.8412794289078406,-0.8178348171706322,-0.7046423519767087,-0.7171049797488901,-0.6003532461093107,-0.7362429647826765,0.0866265155873275,112,-0.493968807975214,-0.5155221499507484,-0.5436821597318165,-0.5210830992785391,-0.552815024492797,-0.525414248285823,0.020928197738293134,0.7362429647826765
